hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
ANDREA LUXURY APARTMENTS Strada Maggiore Studio 1,9.3,122,143,Apartment,1.0,Santo Stefano,False,143.0
Casina Nel Borgo,7.3,3,94,Apartment,0.8,Montagnola,False,94.0
Central City Rooms Executive Suite,8.8,48,120,Apartment,1.2,Montagnola,True,120.0
Residence Sant'Orsola - Pizzardi Suites Apartments,9.1,53,140,Apartment,1.9,Savena,True,140.0
Casa Bologna Fiera,9.6,22,133,Apartment,2.3,Bologna Fiere - quartiere,False,133.0
Hotel Maxim,7.2,2007,100,Hotel,4.3,Bologna Fiere - quartiere,True,100.0
Tilia,8.5,74,120,Apartment,0.7,Santo Stefano,False,120.0
Liberty House,9.0,196,215,Hotel,0.4,Santo Stefano,False,215.0
Cantarana apartment,8.2,147,238,Apartment,0.7,Santo Stefano,False,238.0
MANDRIA APARTMENTS 1 2,9.6,140,173,Apartment,0.3,Piazza Maggiore,False,173.0
Saragozza Apartments,8.4,684,124,Apartment,1.3,Saragozza,False,124.0
Room & Breakfast H & Ercolani,8.9,156,136,Hotel,1.0,Santo Stefano,False,136.0
A due passi dal Lumière,9.0,105,126,Hotel,0.9,Centro storico di Bologna,False,126.0
Residence Rizzoli-Suites Apartments,9.2,94,126,Hotel,0.7,Santo Stefano,True,126.0
Bologna Flats,9.3,69,211,Apartment,0.8,Centro storico di Bologna,False,211.0
B&B Fiera Maglo',8.3,245,111,Bed&Breakfast,2.1,San Donato,True,111.0
D'Azeglio & Galluzzi Suites,9.6,59,282,Hotel,0.2,Piazza Maggiore,False,282.0
La Corte del Pratello,9.3,212,174,Apartment,0.7,Saragozza,False,174.0
FAMILY,9.5,6,118,Apartment,2.7,Bologna Fiere - quartiere,False,118.0
Giudei House Bologna,9.6,143,179,Apartment,0.3,Piazza Maggiore,False,179.0
Bologna Boutique Home,9.7,19,181,Apartment,0.5,Piazza Maggiore,False,181.0
Saracc'House nasce,0.0,0,921,Other,19.5,Not specified,False,921.0
Bologna Central Apartments - Indipendenza 36,8.9,5,142,Apartment,0.5,Piazza Maggiore,False,142.0
HouSmart Castiglione 76,7.4,11,283,Apartment,0.9,Santo Stefano,False,283.0
La casa di Kro,9.1,34,200,Apartment,0.8,Piazza Maggiore,False,200.0
La Maison di Via Baracca,9.3,16,147,Apartment,2.6,Not specified,False,147.0
Emilia Levante 2,7.8,5,103,Apartment,3.1,Savena,True,103.0
HouSmart Bondi 61,0.0,0,293,Apartment,2.3,Savena,False,293.0
Altaseta,0.0,0,294,Apartment,0.7,Saragozza,False,294.0
Casa al Sant'Orsola,8.6,13,108,Apartment,1.6,Not specified,False,108.0
Apartment with one bedroom in Bologna with WiFi,0.0,0,311,Apartment,1.9,Saragozza,False,311.0
Interno 7 - R&B da Vale,9.3,333,132,Hotel,1.9,Bologna Fiere - quartiere,False,132.0
AB Suite Innovative Design B&B,7.9,110,232,Bed&Breakfast,1.4,Bologna Fiere - quartiere,True,232.0
AC Hotel by Marriott Bologna,8.5,830,220,Hotel,1.8,Bologna Fiere - quartiere,True,220.0
IL CASTELLO HOSTEL BOUTIQUE,6.9,1207,81,Hotel,0.3,Piazza Maggiore,False,81.0
Aemilia Hotel Bologna,8.9,3371,228,Hotel,1.3,Not specified,True,228.0
Meditur Hotel Bologna,8.4,1582,117,Other,10.1,Not specified,True,117.0
Residenza Rubbiani Fermata Rizzoli,9.2,532,164,Hotel,0.7,Santo Stefano,True,164.0
Hotel San Giorgio,7.9,921,153,Hotel,0.6,Montagnola,True,153.0
Albergo Garisenda,8.9,654,118,Hotel,0.2,Piazza Maggiore,True,118.0
B&B Casa Faccioli,9.4,244,180,Bed&Breakfast,0.2,Piazza Maggiore,False,180.0
Le camere di Porta San Felice,9.2,469,164,Hotel,1.3,Saragozza,True,164.0
Carlotta Station Suite,9.0,73,118,Apartment,1.3,Centro storico di Bologna,False,118.0
Martina. Bologna,8.8,16,120,Apartment,1.3,Stazione Ferroviaria di Bologna,True,120.0
Sant’Orsola Apartment,8.4,29,145,Apartment,2.1,Savena,False,145.0
Bologna Dream Apartments,9.6,60,249,Apartment,2.9,Savena,False,249.0
Casa delle Oche appartamento di charme,0.0,0,190,Apartment,0.5,Piazza Maggiore,False,190.0
Bologna Stazione Mazzini 3 persons,7.2,5,104,Apartment,3.2,Savena,False,104.0
San Giorgio Apartment,8.8,9,136,Apartment,0.4,Piazza Maggiore,False,136.0
Happy Home BO Fiera Self Check-in,9.4,47,178,Apartment,2.0,San Donato,False,178.0
Incantevole Bilocale,0.0,0,162,Apartment,3.6,Not specified,False,162.0
San Donato 40,8.3,47,154,Apartment,1.5,Bologna Fiere - quartiere,False,154.0
Borgo De Chiari,9.7,52,211,Apartment,0.5,Santo Stefano,False,211.0
Charming Flat Milazzo 32,0.0,0,384,Apartment,1.2,Centro storico di Bologna,False,384.0
Valdonica. Bologna,0.0,0,124,Apartment,0.4,Piazza Maggiore,True,124.0
Art Hotel Orologio,8.8,662,295,Apartment,0.1,Saragozza,False,295.0
Giudei House Minisuite Bologna,8.9,12,141,Apartment,0.4,Piazza Maggiore,False,141.0
Aduepassidallafiera,8.0,79,146,Apartment,3.1,Bologna Fiere - quartiere,False,146.0
BED in BO Porta San Donato,9.1,33,144,Apartment,1.2,Centro storico di Bologna,False,144.0
Bologna House,8.8,21,93,Apartment,1.1,Montagnola,False,93.0
Appartamento Enjoy,0.0,0,124,Apartment,1.3,Stazione Ferroviaria di Bologna,False,124.0
Atelier Pallavicini,0.0,0,240,Apartment,0.8,Centro storico di Bologna,True,240.0
Mascarella. Bologna,7.4,5,143,Apartment,1.1,Montagnola,True,143.0
MG Home a un passo da tutto,0.0,0,135,Apartment,3.1,Not specified,False,135.0
Suite Nico Bologna Centro,8.7,12,199,Apartment,1.3,Centro storico di Bologna,False,199.0
B&B Bologna Station,9.3,447,161,Bed&Breakfast,1.7,Bologna Fiere - quartiere,False,161.0
Hotel Arcoveggio,8.1,1300,90,Hotel,2.4,Bologna Fiere - quartiere,False,90.0
Afittacamere Romina,8.7,81,109,Hotel,0.8,Centro storico di Bologna,False,109.0
Appartamento Gramsci,0.0,0,96,Apartment,1.0,Centro storico di Bologna,True,96.0
Zanhotel Tre Vecchi,8.0,1917,150,Hotel,0.7,Montagnola,True,150.0
B & B Da Matilde,8.8,113,95,Hotel,0.8,Montagnola,False,95.0
Hotel Porta San Mamolo,8.7,543,208,Hotel,0.8,Santo Stefano,True,208.0
RESIDENZA JP,0.0,0,102,Apartment,3.1,Bologna Fiere - quartiere,False,102.0
Goito 3,0.0,0,119,Apartment,0.4,Not specified,True,119.0
Bologna city,0.0,0,134,Apartment,3.2,Not specified,False,134.0
Il Sitarein,9.7,4,142,Apartment,0.6,Saragozza,False,142.0
ResArt Iàcomus,8.6,42,152,Hotel,0.7,Centro storico di Bologna,False,152.0
Serlio 24 2,6.7,15,185,Apartment,1.7,Bologna Fiere - quartiere,False,185.0
FASHION APARTMENT Bologna,9.9,10,167,Apartment,2.0,San Donato,False,167.0
Best Western Hotel San Donato,8.2,1951,183,Hotel,0.4,Piazza Maggiore,True,183.0
CASA VIOLANTE,0.0,0,234,Apartment,2.5,San Donato,True,234.0
AbitaRoom,9.0,227,131,Hotel,1.6,Bologna Fiere - quartiere,True,131.0
Villa Aretusi,8.3,527,137,Hotel,4.9,Borgo Panigale,True,137.0
