hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Vit Stay,8.6,154,1171,Apartment,0.4,Castello,True,167.28571428571428
Palazzetto Madonna,8.8,466,1601,Hotel,0.9,San Polo,True,228.71428571428572
Stemar Apartment Diva,9.3,53,1515,Apartment,0.2,Castello,True,216.42857142857142
Suites alla Maddalena,9.4,75,809,Hotel,1.2,Cannaregio,True,115.57142857142857
Casa Fiorella. Mestre in zona centralissima,7.0,5,515,Hotel,9.7,Not specified,True,73.57142857142857
Sissi Suite,8.6,20,1456,Apartment,0.3,Castello,True,208.0
Ca' Morandi,9.4,22,840,Apartment,0.8,Cannaregio,True,120.0
Casadoro,9.6,6,1596,Apartment,1.0,Cannaregio,False,228.0
Casa Vacanze Angolo 'Sconto,8.4,5,872,Holiday Home,1.3,Cannaregio,True,124.57142857142857
La Casa del Mercante Veneziano,9.4,106,846,Hotel,0.9,Castello,True,120.85714285714286
Ca' Derai Fenice,9.1,45,1001,Apartment,0.3,San Marco,False,143.0
Ca' Laguna. stunning views on Bacino di San Marco,9.0,4,1558,Apartment,1.3,Castello,False,222.57142857142858
San Marco Luxury Studio,9.4,27,961,Apartment,0.3,Castello,True,137.28571428571428
Suite Veronica,9.3,18,1196,Apartment,0.9,San Polo,True,170.85714285714286
Penthouse Accademia,0.0,0,973,Apartment,0.9,Dorsoduro,True,139.0
Appartamenti Ghetto Vecio,9.4,11,1291,Apartment,1.6,Cannaregio,True,184.42857142857142
San Marco Roof Terrace Apartment,8.9,21,1877,Apartment,0.4,San Marco,True,268.14285714285717
WellVenice Altana Top View,9.4,35,1208,Apartment,0.9,San Polo,True,172.57142857142858
CA' DEI SCORZERI,7.9,36,845,Apartment,1.4,Giudecca,True,120.71428571428571
Accademia Apartments R&R,0.0,0,1444,Apartment,0.9,Dorsoduro,True,206.28571428571428
Ada's House,9.4,22,1037,Apartment,2.0,Cannaregio,True,148.14285714285714
Ca Ziza,9.7,56,904,Apartment,1.6,Cannaregio,True,129.14285714285714
Ca' dei Mori,9.0,28,1136,Apartment,1.7,Cannaregio,True,162.28571428571428
White House Rialto,8.0,40,1325,Apartment,0.4,Castello,True,189.28571428571428
San Bortolo - Rialto view apartment,0.0,0,1556,Apartment,0.4,San Marco,True,222.28571428571428
