hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
4F Boutique Hotel Florence,9.4,76,141,Hotel,1.3,Centro storico di Firenze,True,141.0
Cadorna,8.5,506,49,Hotel,1.7,Fortezza da Basso,True,49.0
Eurostars Florence Boutique,8.8,892,129,Hotel,1.2,Santa Croce,True,129.0
B&B Leopoldo and APARTEMENTS,8.3,626,60,Bed&Breakfast,2.2,Rifredi,True,60.0
A Firenze da Paolo,8.5,261,50,Hotel,2.9,Novoli - San Donato,True,50.0
Soggiorno La Coccinella,8.0,300,70,Hotel,1.5,Fortezza da Basso,True,70.0
Mia Palace,8.2,789,78,Hotel,1.4,Not specified,True,78.0
Hotel Monna Lisa,9.0,1737,159,Hotel,0.7,San Marco - Santissima Annunziata,True,159.0
Albergo Firenze,8.4,1515,98,Hotel,0.2,Uffizi,True,98.0
Residence Porta Al Prato,8.5,1154,94,Apartment,1.5,Porta al Prato,True,94.0
Hotel Dali,8.7,743,61,Hotel,0.5,Duomo,True,61.0
Relais Luce Florence,9.5,484,148,Hotel,0.6,San Lorenzo,True,148.0
D'HOME FLORENCE,8.5,404,110,Hotel,0.3,Santa Maria Novella,True,110.0
Hotel Galileo,8.2,615,81,Hotel,0.8,San Lorenzo,True,81.0
Olga's House,8.3,308,102,Hotel,0.2,Uffizi,True,102.0
Corona D'Italia,8.7,554,103,Hotel,0.7,San Lorenzo,True,103.0
La Vigna Dolce di Anna,8.1,1040,70,Hotel,0.5,Uffizi,True,70.0
Soggiorno La Cupola Guesthouse,8.1,589,75,Hotel,0.3,San Lorenzo,True,75.0
Hotel Unicorno,8.4,415,99,Hotel,0.4,Santa Maria Novella,True,99.0
Hotel Orto de' Medici,9.2,794,140,Hotel,0.9,San Marco - Santissima Annunziata,True,140.0
Hotel Palazzuolo,7.9,1497,63,Hotel,0.8,Santa Maria Novella,True,63.0
Sognando Firenze,8.7,419,74,Hotel,1.7,Piazzale Michelangelo,True,74.0
B&B Bruna,9.3,388,96,Bed&Breakfast,3.7,Rifredi,True,96.0
B&B Santa Maria Novella,8.9,341,87,Bed&Breakfast,1.5,Porta al Prato,True,87.0
Relais Gaia,8.7,190,97,Hotel,0.9,Centro storico di Firenze,True,97.0
Hotel Bella Firenze,8.7,216,108,Hotel,0.9,Santa Maria Novella,True,108.0
Room 45,8.5,70,80,Hotel,0.9,Santa Maria Novella,True,80.0
Antica Dimora Firenze,9.3,223,147,Hotel,1.1,San Marco - Santissima Annunziata,True,147.0
Appartamenti nonna Dina,9.2,112,112,Apartment,1.5,Fortezza da Basso,True,112.0
BB Hotels Aparthotel Collection Il Michelangelo,9.8,42,123,Apartment,1.4,Campo di Marte,True,123.0
Astrid Hotel,7.8,295,88,Hotel,0.8,Centro storico di Firenze,True,88.0
Grand Hotel Cavour,8.7,978,139,Hotel,0.3,Uffizi,True,139.0
Al Campanile,9.2,93,163,Apartment,0.4,Duomo,True,163.0
Hotel Alex,7.9,618,84,Hotel,3.6,Not specified,True,84.0
Apollo Guest House,9.2,197,97,Hotel,0.6,San Lorenzo,True,97.0
Florent,8.2,386,97,Apartment,1.0,San Frediano,True,97.0
ApartHotel Quadra Key,8.6,2313,76,Hotel,3.8,Novoli - San Donato,True,76.0
Drom Florence Rooms & Apartments,9.4,137,82,Hotel,1.3,San Frediano,True,82.0
Locanda De' Ciompi,9.3,464,113,Hotel,0.8,San Marco - Santissima Annunziata,True,113.0
Room Mate Isabella,9.1,626,209,Hotel,0.2,Tornabuoni,True,209.0
Cosy House,8.8,451,80,Hotel,0.9,Centro storico di Firenze,True,80.0
Starhotels Tuscany,8.8,1401,115,Hotel,3.3,Novoli - San Donato,True,115.0
The Market Urban Hotel,9.2,754,159,Hotel,0.6,Centro storico di Firenze,True,159.0
Palazzo dei Conti Residenza d'Epoca,9.6,521,188,Hotel,0.3,Duomo,True,188.0
Novella White,8.7,154,113,Apartment,0.7,Santa Maria Novella,True,113.0
PopArtment,9.1,391,97,Apartment,1.7,Fortezza da Basso,True,97.0
B&B Cimatori,9.4,276,121,Bed&Breakfast,0.2,Uffizi,True,121.0
Hotel Villa Liana,8.6,800,133,Hotel,1.3,San Marco - Santissima Annunziata,True,133.0
Hotel Collodi Firenze,9.0,472,108,Hotel,0.6,San Lorenzo,True,108.0
Hotel Leopolda,7.7,322,63,Hotel,1.7,Porta al Prato,True,63.0
Soggiorno Madrid,8.8,365,66,Hotel,1.6,Fortezza da Basso,True,66.0
Guicciardini 24,9.6,215,112,Hotel,0.6,San Frediano,True,112.0
Aura house,7.3,30,87,Hotel,0.4,San Lorenzo,False,87.0
Pink Wolf,9.1,190,88,Hotel,0.7,Centro storico di Firenze,True,88.0
B&B Terrazza Belfiore,9.5,235,98,Bed&Breakfast,1.3,Porta al Prato,True,98.0
B&B Mr My Resort,9.4,341,108,Bed&Breakfast,1.1,Centro storico di Firenze,True,108.0
Alfieri Signature Suites - Alfieri Collezione,8.9,932,169,Hotel,0.4,Tornabuoni,True,169.0
3110 ArtHotel,9.1,491,95,Hotel,1.7,Campo di Marte,True,95.0
Soprarno Suites,9.4,191,249,Hotel,0.8,San Frediano,True,249.0
Lavagnini My Place B&B,9.3,45,70,Bed&Breakfast,1.4,Fortezza da Basso,True,70.0
Hotel Albani Firenze,8.6,993,125,Hotel,0.7,Centro storico di Firenze,True,125.0
B&B La Signoria Di Firenze,9.4,366,126,Bed&Breakfast,0.2,Uffizi,True,126.0
Hotel Palazzo Guadagni,8.9,348,247,Hotel,0.8,San Frediano,True,247.0
Palazzo Oliveto,7.0,615,55,Hotel,1.6,Not specified,True,55.0
San Lorenzo affittacamere,8.6,444,64,Hotel,0.7,San Lorenzo,True,64.0
Boutique Hotel La Casa di Morfeo,8.8,737,104,Hotel,0.9,Santa Croce,True,104.0
Hotel Bellavista,8.7,857,101,Hotel,0.6,San Lorenzo,True,101.0
"Hotel Angelica "" Stazione Santa Maria Novella """,8.2,312,68,Hotel,0.7,Centro storico di Firenze,True,68.0
Nashira Rooms,8.3,526,58,Hotel,0.5,Uffizi,True,58.0
B&B Residenza Giotto,9.3,275,139,Bed&Breakfast,0.1,Duomo,True,139.0
Palazzo D'Oltrarno - Residenza D'Epoca,9.0,570,148,Hotel,0.7,San Frediano,True,148.0
Hotel Bretagna Heritage - Alfieri Collezione,8.3,749,159,Hotel,0.4,Tornabuoni,True,159.0
