hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Agape Hotel,8.2,1849,110,Hotel,6.4,Not specified,False,110.0
Eurohotel,7.9,2498,157,Hotel,1.8,Milano Centro,False,157.0
Hotel Mediolanum,8.3,1106,177,Hotel,2.2,Stazione Centrale,True,177.0
Novotel Milano Nord Cà Granda,7.3,1149,128,Hotel,4.7,Bicocca - Zara,False,128.0
Hotel 38,8.1,773,141,Hotel,2.0,Sempione,True,141.0
Hotel Domenichino,8.0,2184,95,Hotel,3.3,Fiera Milano City,False,95.0
Hotel Manin,8.8,1717,511,Hotel,1.2,Milano Centro,False,511.0
Hotel Centrale,7.1,3433,79,Hotel,3.7,Stazione Centrale,False,79.0
B&B Hotel Milano San Siro,8.3,4169,75,Bed&Breakfast,5.4,San Siro,False,75.0
Hotel Metrò,8.6,1926,118,Hotel,2.5,Fiera Milano City,False,118.0
London Hotel,7.7,1853,111,Hotel,0.5,Milano Centro,False,111.0
Hotel Lombardia,8.0,1122,129,Hotel,3.7,Città Studi,False,129.0
Hotel La Vignetta,8.0,2476,154,Hotel,1.5,Milano Centro,True,154.0
Hotel Ideale,8.1,510,137,Hotel,2.3,Città Studi,True,137.0
Hotel Fiera Congressi,8.5,543,119,Hotel,3.0,Fiera Milano City,True,119.0
New Generation Hostel Milan Center Navigli,7.5,2452,136,Hotel,1.3,Milano Centro,False,136.0
B&B L'Ottava,8.2,83,105,Bed&Breakfast,1.7,Porta Vittoria,True,105.0
Heart Hotel Milano,8.8,305,230,Hotel,1.8,Stazione Garibaldi,False,230.0
UNAHOTELS Century Milano,8.3,1934,230,Hotel,2.4,Stazione Centrale,True,230.0
Hotel Marconi,8.5,2031,160,Hotel,2.1,Stazione Centrale,False,160.0
Hotel Tocq,8.7,215,229,Hotel,2.1,Stazione Garibaldi,True,229.0
Uptown Palace,8.4,3324,295,Hotel,0.8,Milano Centro,True,295.0
Andreola Central Hotel,8.4,1274,175,Hotel,2.6,Stazione Centrale,True,175.0
Combo Milano,9.0,770,151,Hotel,2.4,Navigli,False,151.0
L'Isola di Romy,8.3,1051,61,Hotel,3.1,Bicocca - Zara,True,61.0
Hotel Piola,7.5,1131,83,Hotel,3.4,Città Studi,False,83.0
Sira House Milano,8.0,464,58,Hotel,4.6,Niguarda,False,58.0
B&B Antico Cortile,9.3,555,123,Bed&Breakfast,3.6,Viale Monza,True,123.0
BB Hotels Aparthotel Isola,8.8,1360,115,Apartment,3.0,Stazione Garibaldi,True,115.0
Hotel Mennini,7.7,1725,140,Hotel,2.3,Stazione Centrale,True,140.0
Piccolo Hotel,7.6,1252,104,Hotel,3.2,Sempione,False,104.0
iH Hotels Milano Regency,7.5,710,87,Hotel,3.9,Sempione,True,87.0
Best Western Madison Hotel,8.4,1156,126,Hotel,2.8,Stazione Centrale,False,126.0
Starhotels Tourist,8.6,1976,120,Hotel,7.2,Bicocca - Zara,False,120.0
Radisson Collection Hotel. Palazzo Touring Club Milan,9.1,31,564,Hotel,0.6,Milano Centro,False,564.0
Hotel Rio,7.8,2311,168,Hotel,0.1,Milano Centro,True,168.0
Hotel San Guido,8.0,788,150,Hotel,2.2,Stazione Garibaldi,False,150.0
Hotel Emmy,7.9,402,62,Hotel,3.8,San Siro,False,62.0
Hotel RossoVino Milano,8.1,945,86,Hotel,3.0,Porta Vittoria,True,86.0
Hotel Auriga,8.2,1044,163,Hotel,2.4,Stazione Centrale,True,163.0
Hotel Berna,8.9,2788,185,Hotel,2.3,Stazione Centrale,True,185.0
Guest House Brianza Room,8.4,832,80,Hotel,3.2,Stazione Centrale,False,80.0
Biocity,8.8,1293,139,Hotel,3.4,Stazione Centrale,False,139.0
My Bed Montenapoleone,8.3,693,155,Hotel,0.7,Milano Centro,False,155.0
Hotel Tiziano - Gruppo Mini Hotel,8.9,933,224,Hotel,2.6,Fiera Milano City,False,224.0
NH Milano Palazzo Moscova,8.2,1044,273,Hotel,1.9,Stazione Garibaldi,False,273.0
MEININGER Milano Lambrate,8.5,3950,115,Hotel,4.5,Città Studi,False,115.0
Hotel Terminal,7.2,2145,95,Hotel,3.2,Stazione Centrale,False,95.0
Just Hotel Milano,8.7,3728,170,Hotel,2.4,Stazione Centrale,False,170.0
Hotel Soperga,8.4,3210,133,Hotel,3.2,Stazione Centrale,False,133.0
B&B Hotel Milano Cenisio Garibaldi,8.3,3523,125,Bed&Breakfast,2.7,Sempione,False,125.0
